pot_id,varietal_number,variety_name,run_a_date,run_a_asset_id,run_a_photo_url,run_a_ocr_confirms_pot,run_b_date,run_b_asset_id,run_b_photo_url,run_b_ocr_confirms_pot,missing_in_run_b,analysis_bucket,analysis_notes,follow_up_priority
11T,3,Iles Yellow Latvian,2026-02-27,AF1QipP0GSadCV_QUXvaUIJg4ToDtuQV2EuemT3VBdGd,https://lh3.googleusercontent.com/pw/AP1GczMfo9NBEs53rqIly_9WsQHXNXEmxpOAzN_6vYbo_JBUv8uy_U_vrSwTMTDuzfZQzx1ylGWMnrR12t5NiHjGEkJX-j2vAa3MGiZd9ws59CEsXpkTQ0Fz,False,2026-03-22,AF1QipMVme8B_Stel8u8aD6awKJvYA7r3QjY3MBs-1qb,https://lh3.googleusercontent.com/pw/AP1GczP-82d9GrzRwC7sIRM8x1Q38FvUNf_1hYEg6qWXvvIWeHgFd43OcEdWsV7ulVueSEArRRnV8rX1Iv4KaDSo3vQ71uHObYdu3wPVYFIcnuPEYf3W0KKf,no,False,strong_establishment,One of the clearest Iles Yellow Latvian improvers.,low
12T,3,Iles Yellow Latvian,2026-02-27,AF1QipPcRUF9VFcBtV6xTPyLJvDNn91cVt9MSk1b9ELy,https://lh3.googleusercontent.com/pw/AP1GczOF7FUdohj3sD_dtw24urJStx4ET4pqvlkbH0rvtXURmOPx1wf3xtA9GE4JpWSyh6phJEv1rsaYhgvTNzUF8lDHHeEX7KVET36uEXqXjy3SVe47Z0JS,False,2026-03-22,AF1QipNmwkz-EF7NO9Z8W5Z5HLO-18TqjYDFVAlo6wEa,https://lh3.googleusercontent.com/pw/AP1GczOwXUQlJblQlg_0tLnM8hwXt6RGji7lxXX8uBbfzenEnOR9E7SSgdL44OkUtpcLD1wgnnd4yWdKo6zIDjBSp6i8zvvQvkPId5OvgVEVwGzFBz8STtf1,no,False,modest_establishment,"Ended alive with visible gain, but still weak/small.",medium
13T,6,Japanese Black Trifele,2026-02-27,AF1QipO9O8ofJOltx3a8m1wZDzXD_RBObZa59LwMiQZc,https://lh3.googleusercontent.com/pw/AP1GczPELAIUEBHHZlOBv89CmH0M7rQpbMxn4_mvK4NERomCB8OnPKHjKE8Rhcbmj47u0Y4sDl8lnHi1B6abEEpB4CQV_oC5w8CW4DFBf8_3lk8sOfpMqnoy,False,2026-03-22,AF1QipMDyOd12fmf6IYb5x2uNBfb7bZkQgBw33OIdE-U,https://lh3.googleusercontent.com/pw/AP1GczNQFDr-ygt7tmbLYdnMBw9qmU9izv_HwCcGIcZz6KUl-X0xanW1NenP_mHBJOTIOzMznZSY07nEHullBEeDVs6VnvnSc8dNKfeheqdJqmVovLXOMmLR,no,False,strong_establishment,Readable plant with several leaves by last day.,low
14T,8,Waimea Wild Cherry,2026-02-27,AF1QipPdVE9IB07u1CtbsQ3DSY74m3ZuwXADzVdyG_LQ,https://lh3.googleusercontent.com/pw/AP1GczM5oed7ect65oYYdWPU2rPHIA1IBOnVt4zFJX4Xl137EmqQ1fGnWDYaU6JKqjFewDYzXuwNRWHPs29A1v5uJkonuHmHSCmWfAfwTOieNl710yjsWKRE,False,2026-03-22,AF1QipM24ghfmD4BQ_xI7rw2D1uEZqFEjOmbjqWo-wdQ,https://lh3.googleusercontent.com/pw/AP1GczObMsck43d37juNAyiEThxsJNknSDgqeT0N58iBeYbFdTyrJJEFXF3Hp3tK7eR15IoAWm38U4diiYmPgCMWxTQrZ3v5OAw5SMh10PZ1HPT7ulm7TvL5,no,False,strong_establishment,Strong improvement from sparse baseline to clear canopy.,low
15T,6,Japanese Black Trifele,2026-02-27,AF1QipPhljrNj7wo-iKKOyxIf1xHvkkj3CkWIKYtnlv3,https://lh3.googleusercontent.com/pw/AP1GczOVJ4mM69ZgsEPDI5j1WCddGNSR0suntrDbgip765jcq9RNnf5vkkK_d5WTV_QjmkWYisUH2CT8ENnXJKeh6d8hJtSwNJ8De37YhGMrUQzCiWwAcyK6,True,2026-03-22,AF1QipMaIzan3Ir-yo8YwXrsT767Ta0v6ArHulbpCNjG,https://lh3.googleusercontent.com/pw/AP1GczNss49JoydFSdlbhbA3c7-v6VemkY24bB3zx5YLAL9DxeEhIpo-AxOqh7dkTZVFOaX4uSXl8r0cw9XbztpcLw6wIw8AgWz3i6JQg8sMYBEYi7zAVzY3,no,False,strong_establishment,Marked foliage gain despite still being a small pot.,low
16T,9,Sasha Altai,2026-02-27,AF1QipMMO4uoJXozbYyUy6rRxeZYhw961kmp8Povegbo,https://lh3.googleusercontent.com/pw/AP1GczP4av51WsEbp0Um4GA6Q5kaq5RRvVR0B7RTWLIgjNQv8eSHyhL4YJwMTo6oPruznEFUZzWDzFvSowQpIliR_C5DpHa_6Tm0kRVWWj2KEuvXCRc31fIc,False,2026-03-22,AF1QipO9L6oO2DNlF8bxeXP167j3hUsDxdvqBpKDa6uK,https://lh3.googleusercontent.com/pw/AP1GczMp9Nd9lzP7B5ljKZ89eMZ3r6I7semTxFbUeVXRUdzdd0eZkjxcmkYd6yj3GGU80N2CQnjnOUQYDKNYm3wgKqEsDxPs-Us9y3qYybqGJRPaDT_Ln5DD,no,False,stalled_or_failed,Baseline sprout did not establish; end image is essentially empty.,high
17T,6,Japanese Black Trifele,2026-02-27,AF1QipMGoOuZlrRZznWkkqiaqTGliSLNsZ6uguUFT9Sw,https://lh3.googleusercontent.com/pw/AP1GczMid2vqci6ubHdgRwTzgP25xC7No26ABEuVsbpJWT7wa4f8IAuJl6v1uU_mw-Vx5Yh6nzVoVEU8LanCnuCHHAPKXHeDg0sxMewAzfgUx4B-CKXUZ5dZ,False,2026-03-22,AF1QipMRYhfekGnJioyHxKke6f4Z-8Om6Bpi3OUW6eSa,https://lh3.googleusercontent.com/pw/AP1GczN2AzCzk1ZHOiMqKhAaE0EIgxkXergYDO9YUudhRuVm27xws0p7QD-7Ro4i01aHUO7YaZbRZo8rkp-ps_yZ7UxbGdozJaU8Uq6dpoTRv9BMbNH4k0rZ,no,False,strong_establishment,Good top growth and leaf expansion by the last day.,low
18T,11,Azoychka,2026-02-27,AF1QipNHxDXPshBC7-87uRtOOjldwWgD7sHwj3tsBqPl,https://lh3.googleusercontent.com/pw/AP1GczOq1BJ6lQdAbSQpuPbf4ivPcfIf-GTWNd5c9DMV911nRH1JWPrlTuiud9jyWB7ZbI9J6VuxrIgYaFW83PXs45jRU-fDpZi9mhYPYSNhxREab3MwwyZ5,False,2026-03-22,AF1QipO-zes8ejFbH_HJZQTJJblmsLtzDaSgCK0MFIin,https://lh3.googleusercontent.com/pw/AP1GczO2PE1mN51zs5ebae4lhM6q-lwrBWFOrJHgRi5SVEEjGMmvcBfjMbKNwRGW1bGwAbS-1axEi6OHF-8IRUQrlwGFbDEtVfvuObkrf5ZICl6oketPfmXH,no,False,strong_establishment,Clear establishment; also shows damp/moldy soil worth monitoring.,low
19T,11,Azoychka,2026-02-27,AF1QipN8xGY0DJ1YO6FxU8cQUCA5Xj8-aAL5J6K0jNs3,https://lh3.googleusercontent.com/pw/AP1GczNBXWQ1-MDLDK8C-Wtlg5gFtLQ-KT5W9nBLdNMNGPMbT1j2ZDavogXzCd8QEvqQFgb1jrfIDM6tmkQlxr4UzBGjcaRkqG1ddHm1hNV1OFTqU6_3gio0,False,2026-03-22,AF1QipPTbnDhRmVIWQtX22rQuXgoslcYOibnbu7e312T,https://lh3.googleusercontent.com/pw/AP1GczO_LdJUYWOntrfK2WySxP61yxFt2segxga_9jdADpnL9UhvQ-fFKR0yAYW-922Zx9Aib13w6OVmWo4z39pVUgDkRlx7EoVTQY0f1azRRs89ltTUItjX,no,False,strong_establishment,Healthy upward growth and more leaf mass by last day.,low
20T,11,Azoychka,2026-02-27,AF1QipMYQNQywKhbOyI2QHkZYogmbkuNr-LIeoWHrJiK,https://lh3.googleusercontent.com/pw/AP1GczPHQmto1Pb5BqOiU00D3JjWvwnjej0gVzNwSgNjMjrR1nu7Tl-Z4at27QQvoMwEvBKqxm6OqoPStrvzVgQ9ZN3CnrEPJwqhhidHFcbc0qQZAmfyjfT6,False,2026-03-22,AF1QipN0laVdvA8lE5rNNOqDrZe2npWR5aLHrHo4gxq9,https://lh3.googleusercontent.com/pw/AP1GczP1KohwNoVdTAviZz7U1cFdMRlVejma4JpCdvcvLnxNkMQF_CDb5qjYtIm9eHbGrUkmmoOlobNhEfO3Oo7M6Uxanui3Q2cbmRr8w7FNeye8LbvCJTV6,yes,False,strong_establishment,"Clear improvement, though soil moisture/fungal surface growth should be watched.",low
21T,11,Azoychka,2026-02-27,AF1QipMa0qMVkNBfCip-aaXnEkgaIrdRp7x04CMh_HI_,https://lh3.googleusercontent.com/pw/AP1GczOvy8pR0x7d7-3Dx4WREyaZ6mwWOu-NLFgTFSY4T0nahXYQ2BqI4J5f0S4R5nOAobHLWyHMc9JFmHrHW5ooGzv4VtTkwSMyHktgkBps5roQVpucOSjb,False,2026-03-22,AF1QipOlrzFybaXX5bR1uecWz6GSecKlEmKYGkGoC5cR,https://lh3.googleusercontent.com/pw/AP1GczPy0JJLqpF6x_97JTLcPQ9J0gSNM8-mUuL9ghv1gfsJ6IQ3XPeqC9Jt4jJv7DiwsT75ITr911kbRbON7Xz6ofvQKRb6gwGfURpH1XoEFBW6zi80IimX,no,False,modest_establishment,"Backfilled last-day photo for varietal 11 shows survival and some growth, but the plant remains small.",medium
22T,10,Gold Dust,2026-02-27,AF1QipNQus6o7w1H0bxgqTuVUHDttT63nQ0MI9HJ5nUt,https://lh3.googleusercontent.com/pw/AP1GczPx9lwmq25WBkX1MFWYcna9GewV_AOjVukUHiFklKbtbETJhPWTrh7Thh-ZwvgjpMPiCslJUZNBqOEAKECNa0mCbdAFIwTa3Y5y-RWAuDd533hVoehG,True,2026-03-22,AF1QipPSzyJsSYm2bmNqcd8PXB-dNNaNBr0bQu-ITr0g,https://lh3.googleusercontent.com/pw/AP1GczPlHEoppTSxxDXfqBT9VOaGgMwl3EGkE0NXHMRtZsGd4ttJM_NYgOBCFMm-KAVLgOKpigMU4ZKmvFdp9qjoE2Kq4zP9eAJ5y18b_uiJmpQ97ZWcELp-,no,False,strong_establishment,Healthy-looking gain with a readable central plant.,low
23T,12,Heinz 9129,2026-02-27,AF1QipM0yvLYq5gh5dD0jBeZ7QVjN21Ze4e4PZTa41m2,https://lh3.googleusercontent.com/pw/AP1GczM7PiSEtK6d9-UdjXGsEFFBXOH3kMR1qHZYJRMDjuLJMSKARljMCp8YcJIzhIZYj-0EVSPCoWFk27_9AuW6ECvQl6rI7J6_iNDywaYzl85svI4yOoTY,False,2026-03-22,AF1QipOi0VhAqyErGeAr9UNKqI6G7ORpK9vbBsuHFzMP,https://lh3.googleusercontent.com/pw/AP1GczOiCbdRK-Onw1Ciitd8xN5GL_kM0ZPy1qy9N5k7ktW9MjoDaiQ0wUlfKUELVWOphVsHp2iZftGuJOCfcFCkhVTnRUQuZq10ekhEiLNRzReJENCgZq1e,no,False,modest_establishment,Still tiny at end of phase 1 and sitting in very wet/moldy-looking media.,medium
24T,12,Heinz 9129,2026-02-27,AF1QipN5DqCCkcW274dmS91S3YUqca660Mf_KV-k4Uuu,https://lh3.googleusercontent.com/pw/AP1GczNTaJ-tSOVSpMxV6P65xAe8SNcw1JT4LVKF7AbQmYguVqn5y4tNTeGGlGZ917AZmHE9RLyGM30bQ-iPamIuRI1uJk-1HHsRzm4Gt2QHbaAFTbnKpaCS,True,2026-03-22,AF1QipP9gi4dHZn6hp9rHMLmtZEX4zfzUzgQfeIKLydr,https://lh3.googleusercontent.com/pw/AP1GczO6sZD9oIeRYFi4FBSm6RZQIQKscsQ5I75PvRyAGqs9RSKyzXlKAgOoYe874yxlDDhtBCOU8MTmgFgV7zSLnXKK-GUUkln9L1VaTF4wjEGaOJNIiEpm,no,False,modest_establishment,"Visible survival and some growth, but still limited canopy.",medium
25T,5,Nikolayev Yellow Cherry,2026-02-27,AF1QipNODrVzJesRuXtXzBS4-drd3kbt24GJVefWTk2i,https://lh3.googleusercontent.com/pw/AP1GczNTS-bUm9nm0Hw0P5NlbEtHRYWEPNgF95SkbDkJ1J4tx57nYWzNMiMd9U-FU00TDrliiQCdVRLdDbFTDPw7jg1sO7q5ddLFvKmMSw5TvLMGoJFvCmaW,False,2026-03-22,AF1QipOdp2zN-JVBLI64OVzujVGTx_CeDARSgptloIuG,https://lh3.googleusercontent.com/pw/AP1GczOvmU36jTnhTcI7WgH7L36mGtarIOXNEPXtufNzbitLUfoa3tqKCuLKCXyC2DoYU2yQwG7vzOJl5mH0spRAKHTOSZEEJLNWA7PWoRqZJQgv-MsfcFnA,no,False,strong_establishment,From tiny starts to multiple upright stems by last day.,low
26T,5,Nikolayev Yellow Cherry,2026-02-27,AF1QipNdeVT-5e36OTyiL2lMm7CBCmO9kGQLrkK_u0RW,https://lh3.googleusercontent.com/pw/AP1GczMX3e8-MVjyk91zng4gVqOtNGy-8qhIkH1rZfC458Xjs_iyCMGlfq7DAuBtc2wY2jSKMU7Xy3vKpErkvOZsMVl1uXZnYVGg2in9HghU9mZk4oJzYYnw,False,2026-03-22,AF1QipM30lsJpN8Hjek9xsycqN3CWTo-w-sfwDDs62yB,https://lh3.googleusercontent.com/pw/AP1GczMO7KinEaMv52QotLod3_o71GKxP_A7Ltwips1C7TbnvdWFhGmvufeAkKRhTBgQBJtzB8BP6p2aos7OcXVVGIJbI1pUmmjh__Hbm-EtEsPmoHmoVXr9,no,False,modest_establishment,"Alive with more leaves, but still behind the strongest cohort.",medium
27T,4,Taxi,2026-02-27,AF1QipPWgrm0c2e2ueay8ltxkNXZmYWr_MEy6B3wWNyW,https://lh3.googleusercontent.com/pw/AP1GczOfHQxNmKBdk7ZFHkOMlEGi496BC8jUarmCshEU_3KpOsrrXE-9o8SRQ6sT3ELgs0iMEmo1sHa3-SysAn8stONXBx6SopZhBF9isZhNVDX3Mmu4j0Ba,True,2026-03-22,AF1QipOk7-iWStlaaFm9SPNk0j966f0tzTb3RV1sYd4P,https://lh3.googleusercontent.com/pw/AP1GczMDqW24XSTwGTDPDf2vjcY9etpGBqC6W7hSb3AIE97vHBg68-gpeA_Mu4L5AEMK5QB_70xEneKmpeIoerLB-9gkx_yO7Iddq5bDVN94zICrrDTiM9UI,no,False,modest_establishment,Single surviving stem looks leggy; improvement is real but limited.,medium
28T,4,Taxi,2026-02-27,AF1QipNNWpiy8RVHX96LLFVf8jWo7bcfr96LcWxlhLoN,https://lh3.googleusercontent.com/pw/AP1GczMSHh1oMxqHzVlUN07FbSMcpjsWqxVjuCodRU71YxaUrEs5UrDGo2dqrhFj5j5EjXdurSa20rzTatYyg4LTpFXkP0db93AMiaJTB4eOBPcRj9Xu3HCF,False,2026-03-22,AF1QipOUO4e9BJQ2mBP4t2qePkokL-SM6XjZlPi-SzMM,https://lh3.googleusercontent.com/pw/AP1GczNiVnQnH-rmRVyV3PevIRtxlNcENXYp4uXbPbgPG7tDyMtxyK_4BlfZkUhgTkTBzeE5xK9NeVcYbciRbH7EzGQZH9oU1hovE1Vy1QrV3BMHGOBPGNNC,yes,False,strong_establishment,Clear transition from sparse baseline to established seedling.,low
29T,7,Sunset's Red Horizon,2026-02-27,AF1QipPl7rTGp9wwRZiLbaU7kO7c2HuMQ9t4Tpi1hSgo,https://lh3.googleusercontent.com/pw/AP1GczMRYWGmryb52EBT1UAO8SZEjuVm-NlKe9r2OGoYj-TJXC1BeFniWJ5jHv5YaJrAs8egHVSkqZE4cyoOpxlBgPu2VgAb_3nCNLkQVcaR4D9Kk7Ahiru8,True,2026-03-22,AF1QipNmZwTcaUiu8A3Ltc6xPIxJ61Yrbux3g8HU74me,https://lh3.googleusercontent.com/pw/AP1GczO78Wt2vDnaVf6H27St4DPJ_6t4f9FyzNalybBilLdpKxoNZ0uMmJsBg-WVpJ4xdE3DUq92gJJH4SNbxy6rlAcLSkr0NxfaLlYAiRWYZnIbpFqQK2Z8,no,False,strong_establishment,Strongest-looking red horizon pot in this pair set.,low
30T,7,Sunset's Red Horizon,2026-02-27,AF1QipN537ybNXCCXSFj6NaQyygBKMS8sEZRVnfUYAhQ,https://lh3.googleusercontent.com/pw/AP1GczPwLEoLlIsnSbPckw0lN7WT-HCyeEyamNGNItnqKWZ9YIMC4fTg2RJWP15GoFjsnbdCgUaG-ui9GTOe1voY6afF9YQiTYdTu29eh1_1lAyIltESJrHA,True,2026-03-22,AF1QipP11JFyJxv2-5cCCGplu58rPJITnN4qZjkpPf8o,https://lh3.googleusercontent.com/pw/AP1GczOTrXoVAq6BOrnvwEYagrz02kClgn19_TuF9dAj9cIiiWBrQn56SJsXXFXXASHy_kWT5EMqlC0fXis2jYwX6rwfuW76bKwdByf4NbOhjnx0CVDLvbY9,yes,False,strong_establishment,Consistent strong gain with OCR-confirmed identity on both days.,low
31T,3,Iles Yellow Latvian,2026-02-27,AF1QipPgDMe3CWYmipAB-no13igQfPJRtD0OwTtO982r,https://lh3.googleusercontent.com/pw/AP1GczPL_UlZIqmWCRXreoAvF62QWFTXrEBM-geNIgKs8LVYUcgqv_Gr02OP1HkCNMEaq23UW49ymVsbqUYKYnFH5gxoHLFfXlLMDKVkfguUZPgaasi00r5_,False,2026-03-22,AF1QipOzngLvJk7N95WTagqpCjBgVEzlNg8m-9lCtSbZ,https://lh3.googleusercontent.com/pw/AP1GczOKovia-hg3SVlv4Ax80xkkoqSXFLOpypLstJNebwetFMpP54oE8NRuki4-YzjOS1S3E7C9QKqFI3ZqKNUQ2VWAb8I27Ff1FswpY6kg-odVThvE4vFT,no,False,strong_establishment,Clear improvement from weak start to established plant.,low
32T,7,Sunset's Red Horizon,2026-02-27,AF1QipPW_xrbboWWeCEJUDigNayqwBG7NHzHDD0oShYP,https://lh3.googleusercontent.com/pw/AP1GczMNSZHB4XRKLIzpLkXPYvWTjxdEHrXGHtfXDF0FMlGk1r56HuODaGe-oHpag-RbVhZGnBwOBOtKzDaw2gErXucV4qry4xhDqnUk9I1dpfoNpKGdgOWB,True,2026-03-22,AF1QipNGH2Jc94a3_F6FKg7cG3mjwIKK_qPcO1e0L6as,https://lh3.googleusercontent.com/pw/AP1GczPe3Ln8TxgcmN5t7AjCIC53JF5Xrc9lT7IP_u2NTmBE82WQYw3RizaS2HWzZGNwwEQGA_A4-_cOxGZcTlYBjMzLMsEIQ9IC4CeG8_FunLgqxLAVGK8h,no,False,strong_establishment,Strong end-state canopy relative to its baseline.,low
