row_index,source_asset_id,classification_label,species_common_name,variety_name,species_scientific_name,specific_note,weather_hypothesis,expected_harvest_window,confidence,labeling_method,caption,notes_append,ocr_excerpt
11,AF1QipOD-4JZKFoLLmop8kf5UrZVgFK997FlrUV2bfDK,non_tomato,Turnip,,Brassica rapa subsp. rapa,,,,0.99,manual_packet_label,Turnip (Purple Top White Globe) | non_tomato_11 | verified,Manual packet-label verification from photo.,
12,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,non_tomato,Turnip,,Brassica rapa subsp. rapa,,,,0.8,manual_tag_inference,Turnip (Purple Top White Globe) | non_tomato_12 | inferred,Inferred from repeated tray tag 7 adjacent to verified Turnip packet.,
13,AF1QipNPL4nt2YpB_XIcQzYhO655wqvWMHRH-KHmtrYL,tomato,San Francisco Fog,,Solanum lycopersicum,,,,0.99,manual_packet_label,San Francisco Fog | tomato_13 | verified,Manual packet-label verification from photo.,
14,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,tomato,Bes Yellow Latvian,,Solanum lycopersicum,,,,0.99,manual_packet_label,Bes Yellow Latvian | tomato_14 | verified,Manual packet-label verification from photo.,
15,AF1QipN2YoB1bCy4GtnTmb14BMvYRBvSTUZ2eqDUQChh,tomato,Taxi,,Solanum lycopersicum,,,,0.99,manual_packet_label,Taxi | tomato_15 | verified,Manual packet-label verification from photo.,
16,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,tomato,Nikolayev Yellow Cherry,,Solanum lycopersicum,,,,0.99,manual_packet_label,Nikolayev Yellow Cherry | tomato_16 | verified,Manual packet-label verification from photo.,
17,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,tomato,Japanese Black Trifele,,Solanum lycopersicum,,,,0.99,manual_packet_label,Japanese Black Trifele | tomato_17 | verified,Manual packet-label verification from photo.,
18,AF1QipP1dMtVzUEgy1xAa-BPODBu3C8Mv1MxdVczHmsv,tomato,Sunset's Red Horizon,,Solanum lycopersicum,,,,0.99,manual_packet_label,Sunset's Red Horizon | tomato_18 | verified,Manual packet-label verification from photo.,
19,AF1QipNjCXO2DCyYSPo8z8XBD0Ec50YkcouPnONL4iMi,tomato,Walmea Wild Cherry,,Solanum lycopersicum,,,,0.99,manual_packet_label,Walmea Wild Cherry | tomato_19 | verified,Manual packet-label verification from photo.,
20,AF1QipOWtl-WwkecNu9F9l_igA2_xjUTX61phekqUISY,tomato,Sasha Altai,,Solanum lycopersicum,,,,0.99,manual_packet_label,Sasha Altai | tomato_20 | verified,Manual packet-label verification from photo.,
21,AF1QipNgy53gtDiRsdSvAMrdHdBvBkbmKmaU1vFW5Zwz,tomato,Sasha Altai,,Solanum lycopersicum,,,,0.99,manual_packet_label,Sasha Altai | tomato_21 | verified,Manual packet-label verification from photo.,
22,AF1QipPAAscveydu_pS2BDKBY5GW6c2PcX28PTEVjWAg,tomato,Azoychka,,Solanum lycopersicum,,,,0.99,manual_packet_label,Azoychka | tomato_22 | verified,Manual packet-label verification from photo.,
23,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,tomato,Heinz 9129,,Solanum lycopersicum,,,,0.99,manual_packet_label,Heinz 9129 | tomato_23 | verified,Manual packet-label verification from photo.,
24,AF1QipNP68Vw7mvYGsv5QBHZUceKBkEDLjdMJrAvrxd7,tomato,Gold Dust,,Solanum lycopersicum,,,,0.99,manual_packet_label,Gold Dust | tomato_24 | verified,Manual packet-label verification from photo.,
25,AF1QipMsgTsMPe0GgrGEOMSzeDEb5I0btOG77tyXcHuV,tomato,Heinz 9129,,Solanum lycopersicum,,,,0.99,manual_packet_label,Heinz 9129 | tomato_25 | verified,Manual packet-label verification from photo.,
26,AF1QipMEl7diDesLyGqrp1qoRqwhHn3qWfQf49Qfnky2,tomato,Heinz 9129,,Solanum lycopersicum,,,,0.99,manual_packet_label,Heinz 9129 | tomato_26 | verified,Manual packet-label verification from photo.,
