row_index,source_asset_id,classification_label,species_common_name,variety_name,species_scientific_name,specific_note,weather_hypothesis,expected_harvest_window,confidence,labeling_method,caption,notes_append,ocr_excerpt
11,AF1QipOD-4JZKFoLLmop8kf5UrZVgFK997FlrUV2bfDK,non_tomato,Turnip,,Brassica rapa subsp. rapa,,,,0.99,manual_packet_label,Turnip (Purple Top White Globe) | non_tomato_11 | verified,Manual packet-label verification from photo.,
12,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,non_tomato,Turnip,,Brassica rapa subsp. rapa,,,,0.8,manual_tag_inference,Turnip (Purple Top White Globe) | non_tomato_12 | inferred,Inferred from repeated tray tag 7 adjacent to verified Turnip packet.,
13,AF1QipNPL4nt2YpB_XIcQzYhO655wqvWMHRH-KHmtrYL,tomato,San Francisco Fog,,Solanum lycopersicum,,,,0.99,manual_packet_label,San Francisco Fog | tomato_13 | verified,Manual packet-label verification from photo.,
14,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,tomato,Iles Yellow Latvian,,Solanum lycopersicum,,,,0.99,manual_packet_label,Iles Yellow Latvian | tomato_14 | verified,Manual packet-label verification from photo.,
15,AF1QipN2YoB1bCy4GtnTmb14BMvYRBvSTUZ2eqDUQChh,tomato,Taxi,,Solanum lycopersicum,,,,0.99,manual_packet_label,Taxi | tomato_15 | verified,Manual packet-label verification from photo.,
16,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,tomato,Nikolayev Yellow Cherry,,Solanum lycopersicum,,,,0.99,manual_packet_label,Nikolayev Yellow Cherry | tomato_16 | verified,Manual packet-label verification from photo.,
17,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,tomato,Japanese Black Trifele,,Solanum lycopersicum,,,,0.99,manual_packet_label,Japanese Black Trifele | tomato_17 | verified,Manual packet-label verification from photo.,
18,AF1QipP1dMtVzUEgy1xAa-BPODBu3C8Mv1MxdVczHmsv,tomato,Sunset's Red Horizon,,Solanum lycopersicum,,,,0.99,manual_packet_label,Sunset's Red Horizon | tomato_18 | verified,Manual packet-label verification from photo.,
19,AF1QipNjCXO2DCyYSPo8z8XBD0Ec50YkcouPnONL4iMi,tomato,Waimea Wild Cherry,,Solanum lycopersicum,,,,0.99,manual_packet_label,Waimea Wild Cherry | tomato_19 | verified,Manual packet-label verification from photo.,
20,AF1QipOWtl-WwkecNu9F9l_igA2_xjUTX61phekqUISY,tomato,Sasha Altai,,Solanum lycopersicum,,,,0.99,manual_packet_label,Sasha Altai | tomato_20 | verified,Manual packet-label verification from photo.,
21,AF1QipNgy53gtDiRsdSvAMrdHdBvBkbmKmaU1vFW5Zwz,tomato,Sasha Altai,,Solanum lycopersicum,,,,0.99,manual_packet_label,Sasha Altai | tomato_21 | verified,Manual packet-label verification from photo.,
22,AF1QipPAAscveydu_pS2BDKBY5GW6c2PcX28PTEVjWAg,tomato,Azoychka,,Solanum lycopersicum,,,,0.99,manual_packet_label,Azoychka | tomato_22 | verified,Manual packet-label verification from photo.,
23,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,tomato,Heinz 9129,,Solanum lycopersicum,,,,0.99,manual_packet_label,Heinz 9129 | tomato_23 | verified,Manual packet-label verification from photo.,
24,AF1QipNP68Vw7mvYGsv5QBHZUceKBkEDLjdMJrAvrxd7,tomato,Gold Dust,,Solanum lycopersicum,,,,0.99,manual_packet_label,Gold Dust | tomato_24 | verified,Manual packet-label verification from photo.,
25,AF1QipMsgTsMPe0GgrGEOMSzeDEb5I0btOG77tyXcHuV,tomato,Heinz 9129,,Solanum lycopersicum,,,,0.99,manual_packet_label,Heinz 9129 | tomato_25 | verified,Manual packet-label verification from photo.,
26,AF1QipMEl7diDesLyGqrp1qoRqwhHn3qWfQf49Qfnky2,tomato,Heinz 9129,,Solanum lycopersicum,,,,0.99,manual_packet_label,Heinz 9129 | tomato_26 | verified,Manual packet-label verification from photo.,
124,AF1QipNjWhvFiXuamI-Gn3JUm4weAHd5isNUnf_R2uaa,non_tomato,Lettuce,Lettuce,Lactuca sativa,,,,0.911,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.563567 non_tomato_sim=0.743999 margin=0.180432,
126,AF1QipNTvvxA1XfQsOD79v2X3F8oWeX4T-IYh1PamYaC,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.744,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.636693 non_tomato_sim=0.733627 margin=0.096934,
127,AF1QipPqC5rhFW6jReI6tc68phfbliLsFhCt1qwJgnxb,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.795,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.614546 non_tomato_sim=0.736874 margin=0.122328,
128,AF1QipN36GoQRLn9h2NfDp9xKGVjPF3AihAb8BarYXRz,non_tomato,Pea,Pea,Pisum sativum,,,,0.666,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.577447 non_tomato_sim=0.635552 margin=0.058105,
133,AF1QipNrnV7_ou-gBKSqPBeZCNlWCjSWQoO3EAiDaktn,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,,,,0.729,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.582637 non_tomato_sim=0.672078 margin=0.089441,
134,AF1QipM6iIoxDiNhaFkFxFQyvXeXdH-W1tfN4vOatqKu,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,,,,0.688,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.451331 non_tomato_sim=0.520199 margin=0.068868,
135,AF1QipMmcbkEvj6cQE_kCXNmfLRA0sdlDIgZoKhBX8ci,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.7,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.637516 non_tomato_sim=0.712311 margin=0.074794,
136,AF1QipMfX7LtX3EQc69IEisTmLvdCSH-x4rOK88WhIdu,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.668,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.591056 non_tomato_sim=0.649907 margin=0.058851,
141,AF1QipOP1BtfTSynptfuFyFtDgSWrW23PnhK6TR8ye8y,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.68,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.625959 non_tomato_sim=0.691171 margin=0.065213,
142,AF1QipMYxaaQ1a5DnR4bMJQ9FbbNbhvl941JmtnxmnGk,tomato,Tomato,,Solanum lycopersicum,,,,0.671,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.68848 non_tomato_sim=0.628097 margin=0.060383,
145,AF1QipN9wSnjis9IycZs8KqGU-xzcEuZB8BqypxxTGMZ,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.763,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.613699 non_tomato_sim=0.720208 margin=0.10651,
150,AF1QipM7ErDnZYljEJkB-ofkNUp8AAvkCSzr5NMfyvuK,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.682,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.733718 non_tomato_sim=0.799479 margin=0.065761,
157,AF1QipOJh9HPnO_BUmCjgpFMnN3beATa0yj_nCQg6kvz,tomato,Tomato,,Solanum lycopersicum,,,,0.698,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.522685 non_tomato_sim=0.448733 margin=0.073953,
158,AF1QipNT5F_KtSrnPQXAxVW2nOehKD1G7dlVasCSUGGG,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.793,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.674407 non_tomato_sim=0.795982 margin=0.121575,
159,AF1QipPQJvrHZ72Aa3eKsRkZ_qI2_zIr2oo-8ZDUlD7l,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.738,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.541434 non_tomato_sim=0.635475 margin=0.094041,
160,AF1QipOl16sqejknPt29KspylLvSwCJQ_WbXEbaSvXO1,tomato,Tomato,,Solanum lycopersicum,,,,0.67,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.610751 non_tomato_sim=0.550606 margin=0.060145,
164,AF1QipNUc4_iCorNgjiV4vTpydZtCLn86tsrJh3HH7_3,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.797,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.716531 non_tomato_sim=0.839822 margin=0.12329,
167,AF1QipO5q3GdpwwVY8wmrCAL8ues_H4adxKg65XR_mtS,tomato,Tomato,,Solanum lycopersicum,,,,0.71,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.704143 non_tomato_sim=0.624221 margin=0.079922,
169,AF1QipMc9rZXyISCZElycuKZ_cr7Ex4KOucT_34JQOEC,tomato,Tomato,,Solanum lycopersicum,,,,0.651,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.726466 non_tomato_sim=0.675835 margin=0.050631,
172,AF1QipOye3QE9u2xMY45v1Gzn_hgNKXum941NaI3G1DB,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.779,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.694091 non_tomato_sim=0.808475 margin=0.114385,
176,AF1QipPkXKpfW8C-Df9ZD2jf69tKllu0mrkqm8nfX8Wo,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.731,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.717011 non_tomato_sim=0.807273 margin=0.090262,
177,AF1QipMQDvxdK7IP8ClbqPAhR8VyPY-sJ7y3hHu4Pr-4,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.749,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.610242 non_tomato_sim=0.709547 margin=0.099306,
178,AF1QipOug35qsUr1vxkksitCkFPczGJmnvvdYl1tp5jb,non_tomato,Spinach,Spinach,Spinacia oleracea,,,,0.65,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.651466 non_tomato_sim=0.701685 margin=0.050219,
179,AF1QipN8-oTE3TTH1pc7oJ4_3fWORg64Vna2I-GJasMG,tomato,Tomato,,Solanum lycopersicum,,,,0.673,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.758366 non_tomato_sim=0.696766 margin=0.061601,
180,AF1QipN8ZYwEXwvzLkjDKNm9DxEqT5yaJRQ4gh72CG6S,tomato,Tomato,,Solanum lycopersicum,,,,0.709,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.682095 non_tomato_sim=0.602617 margin=0.079478,
182,AF1QipOkb-F1GDSiZaS-cefbOXH_FS8izZJHWY8qU8a9,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,,,,0.735,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.69549 non_tomato_sim=0.787992 margin=0.092503,
191,AF1QipMidJYX9xyasGhCNIucTRhkygzjVjjeb93ucc35,non_tomato,Pea,Pea,Pisum sativum,,,,0.709,visual_similarity_nn_v17_seed,,auto-seed from v17 visual similarity; tomato_sim=0.609124 non_tomato_sim=0.688792 margin=0.079668,
